County,FileNumber,Measure Names,ProviderName,Measure Values
BROWARD,104015,Bed Census,LARKIN COMMUNITY HOSPITAL BEHAVIORAL HEALTH SERVICES,34
BROWARD,104015,Available,LARKIN COMMUNITY HOSPITAL BEHAVIORAL HEALTH SERVICES,16
BROWARD,104015,Available Capacity,LARKIN COMMUNITY HOSPITAL BEHAVIORAL HEALTH SERVICES,0.32
BROWARD,104015,Total Staffed Bed Capacity,LARKIN COMMUNITY HOSPITAL BEHAVIORAL HEALTH SERVICES,50
BROWARD,104026,Bed Census,FORT LAUDERDALE BEHAVIORAL HEALTH CENTER,92
BROWARD,104026,Available,FORT LAUDERDALE BEHAVIORAL HEALTH CENTER,0
BROWARD,104026,Available Capacity,FORT LAUDERDALE BEHAVIORAL HEALTH CENTER,0
BROWARD,104026,Total Staffed Bed Capacity,FORT LAUDERDALE BEHAVIORAL HEALTH CENTER,92
BROWARD,110019,Bed Census,BROWARD HEALTH CORAL SPRINGS,135
BROWARD,110019,Available,BROWARD HEALTH CORAL SPRINGS,15
BROWARD,110019,Available Capacity,BROWARD HEALTH CORAL SPRINGS,0.1
BROWARD,110019,Total Staffed Bed Capacity,BROWARD HEALTH CORAL SPRINGS,150
BROWARD,111527,Bed Census,MEMORIAL HOSPITAL WEST,348
BROWARD,111527,Available,MEMORIAL HOSPITAL WEST,37
BROWARD,111527,Available Capacity,MEMORIAL HOSPITAL WEST,0.096103896
BROWARD,111527,Total Staffed Bed Capacity,MEMORIAL HOSPITAL WEST,385
BROWARD,23960050,Bed Census,MEMORIAL HOSPITAL MIRAMAR,116
BROWARD,23960050,Available,MEMORIAL HOSPITAL MIRAMAR,62
BROWARD,23960050,Available Capacity,MEMORIAL HOSPITAL MIRAMAR,0.348314607
BROWARD,23960050,Total Staffed Bed Capacity,MEMORIAL HOSPITAL MIRAMAR,178
CALHOUN,100112,Bed Census,CALHOUN-LIBERTY HOSPITAL,6
CALHOUN,100112,Available,CALHOUN-LIBERTY HOSPITAL,4
CALHOUN,100112,Available Capacity,CALHOUN-LIBERTY HOSPITAL,0.4
CALHOUN,100112,Total Staffed Bed Capacity,CALHOUN-LIBERTY HOSPITAL,10
CHARLOTTE,100047,Bed Census,BAYFRONT HEALTH PUNTA GORDA,87
CHARLOTTE,100047,Available,BAYFRONT HEALTH PUNTA GORDA,39
CHARLOTTE,100047,Available Capacity,BAYFRONT HEALTH PUNTA GORDA,0.309523810
CHARLOTTE,100047,Total Staffed Bed Capacity,BAYFRONT HEALTH PUNTA GORDA,126
CHARLOTTE,100077,Bed Census,BAYFRONT HEALTH PORT CHARLOTTE,146
CHARLOTTE,100077,Available,BAYFRONT HEALTH PORT CHARLOTTE,73
CHARLOTTE,100077,Available Capacity,BAYFRONT HEALTH PORT CHARLOTTE,0.333333333
CHARLOTTE,100077,Total Staffed Bed Capacity,BAYFRONT HEALTH PORT CHARLOTTE,219
CHARLOTTE,100236,Bed Census,FAWCETT MEMORIAL HOSPITAL,150
CHARLOTTE,100236,Available,FAWCETT MEMORIAL HOSPITAL,103
CHARLOTTE,100236,Available Capacity,FAWCETT MEMORIAL HOSPITAL,0.407114625
CHARLOTTE,100236,Total Staffed Bed Capacity,FAWCETT MEMORIAL HOSPITAL,253
CITRUS,100023,Bed Census,CITRUS MEMORIAL HOSPITAL,129
CITRUS,100023,Available,CITRUS MEMORIAL HOSPITAL,75
CITRUS,100023,Available Capacity,CITRUS MEMORIAL HOSPITAL,0.367647059
CITRUS,100023,Total Staffed Bed Capacity,CITRUS MEMORIAL HOSPITAL,204
CITRUS,100249,Bed Census,BAYFRONT HEALTH SEVEN RIVERS,71
CITRUS,100249,Available,BAYFRONT HEALTH SEVEN RIVERS,8
CITRUS,100249,Available Capacity,BAYFRONT HEALTH SEVEN RIVERS,0.101265823
CITRUS,100249,Total Staffed Bed Capacity,BAYFRONT HEALTH SEVEN RIVERS,79
CLAY,100016,Bed Census,KINDRED HOSPITAL-NORTH FLORIDA,42
CLAY,100016,Available,KINDRED HOSPITAL-NORTH FLORIDA,31
CLAY,100016,Available Capacity,KINDRED HOSPITAL-NORTH FLORIDA,0.424657534
CLAY,100016,Total Staffed Bed Capacity,KINDRED HOSPITAL-NORTH FLORIDA,73
CLAY,100226,Bed Census,ORANGE PARK MEDICAL CENTER,306
CLAY,100226,Available,ORANGE PARK MEDICAL CENTER,57
CLAY,100226,Available Capacity,ORANGE PARK MEDICAL CENTER,0.157024793
CLAY,100226,Total Staffed Bed Capacity,ORANGE PARK MEDICAL CENTER,363
CLAY,23960117,Bed Census,ASCENSION ST VINCENT'S CLAY COUNTY,100
CLAY,23960117,Available,ASCENSION ST VINCENT'S CLAY COUNTY,13
CLAY,23960117,Available Capacity,ASCENSION ST VINCENT'S CLAY COUNTY,0.115044248
CLAY,23960117,Total Staffed Bed Capacity,ASCENSION ST VINCENT'S CLAY COUNTY,113
COLLIER,100018,Bed Census,NAPLES COMMUNITY HOSPITAL,205
COLLIER,100018,Available,NAPLES COMMUNITY HOSPITAL,37
COLLIER,100018,Available Capacity,NAPLES COMMUNITY HOSPITAL,0.152892562
COLLIER,100018,Total Staffed Bed Capacity,NAPLES COMMUNITY HOSPITAL,242
COLLIER,110043,Bed Census,"WILLOUGH AT NAPLES, THE",71
COLLIER,110043,Available,"WILLOUGH AT NAPLES, THE",10
COLLIER,110043,Available Capacity,"WILLOUGH AT NAPLES, THE",0.123456790
COLLIER,110043,Total Staffed Bed Capacity,"WILLOUGH AT NAPLES, THE",81
COLLIER,120006,Bed Census,NCH HEALTHCARE SYSTEM NORTH NAPLES HOSPITAL CAMPUS,178
COLLIER,120006,Available,NCH HEALTHCARE SYSTEM NORTH NAPLES HOSPITAL CAMPUS,55
COLLIER,120006,Available Capacity,NCH HEALTHCARE SYSTEM NORTH NAPLES HOSPITAL CAMPUS,0.236051502
COLLIER,120006,Total Staffed Bed Capacity,NCH HEALTHCARE SYSTEM NORTH NAPLES HOSPITAL CAMPUS,233
COLLIER,23960025,Bed Census,PHYSICIANS REGIONAL MEDICAL CENTER - PINE RIDGE,94
COLLIER,23960025,Available,PHYSICIANS REGIONAL MEDICAL CENTER - PINE RIDGE,15
COLLIER,23960025,Available Capacity,PHYSICIANS REGIONAL MEDICAL CENTER - PINE RIDGE,0.137614679
COLLIER,23960025,Total Staffed Bed Capacity,PHYSICIANS REGIONAL MEDICAL CENTER - PINE RIDGE,109
COLLIER,23960057,Bed Census,PHYSICIANS REGIONAL MEDICAL CENTER - COLLIER,59
COLLIER,23960057,Available,PHYSICIANS REGIONAL MEDICAL CENTER - COLLIER,41
COLLIER,23960057,Available Capacity,PHYSICIANS REGIONAL MEDICAL CENTER - COLLIER,0.41
COLLIER,23960057,Total Staffed Bed Capacity,PHYSICIANS REGIONAL MEDICAL CENTER - COLLIER,100
COLLIER,23960116,Bed Census,LANDMARK HOSPITAL OF SOUTHWEST FLORIDA,28
COLLIER,23960116,Available,LANDMARK HOSPITAL OF SOUTHWEST FLORIDA,22
COLLIER,23960116,Available Capacity,LANDMARK HOSPITAL OF SOUTHWEST FLORIDA,0.44
COLLIER,23960116,Total Staffed Bed Capacity,LANDMARK HOSPITAL OF SOUTHWEST FLORIDA,50
COLUMBIA,100102,Bed Census,SHANDS LAKE SHORE REGIONAL MEDICAL CENTER,8
COLUMBIA,100102,Available,SHANDS LAKE SHORE REGIONAL MEDICAL CENTER,6
COLUMBIA,100102,Available Capacity,SHANDS LAKE SHORE REGIONAL MEDICAL CENTER,0.428571429
COLUMBIA,100102,Total Staffed Bed Capacity,SHANDS LAKE SHORE REGIONAL MEDICAL CENTER,14
COLUMBIA,100156,Bed Census,LAKE CITY MEDICAL CENTER,88
COLUMBIA,100156,Available,LAKE CITY MEDICAL CENTER,3
COLUMBIA,100156,Available Capacity,LAKE CITY MEDICAL CENTER,0.032967033
COLUMBIA,100156,Total Staffed Bed Capacity,LAKE CITY MEDICAL CENTER,91
DESOTO,100175,Bed Census,DESOTO MEMORIAL HOSPITAL,22
DESOTO,100175,Available,DESOTO MEMORIAL HOSPITAL,33
DESOTO,100175,Available Capacity,DESOTO MEMORIAL HOSPITAL,0.6
DESOTO,100175,Total Staffed Bed Capacity,DESOTO MEMORIAL HOSPITAL,55
DUVAL,100001,Bed Census,UF HEALTH JACKSONVILLE,460
DUVAL,100001,Available,UF HEALTH JACKSONVILLE,143
DUVAL,100001,Available Capacity,UF HEALTH JACKSONVILLE,0.237147595
DUVAL,100001,Total Staffed Bed Capacity,UF HEALTH JACKSONVILLE,603
DUVAL,100040,Bed Census,ASCENSION ST VINCENT'S RIVERSIDE,301
DUVAL,100040,Available,ASCENSION ST VINCENT'S RIVERSIDE,212
DUVAL,100040,Available Capacity,ASCENSION ST VINCENT'S RIVERSIDE,0.413255361
DUVAL,100040,Total Staffed Bed Capacity,ASCENSION ST VINCENT'S RIVERSIDE,513
DUVAL,100088,Bed Census,BAPTIST MEDICAL CENTER JACKSONVILLE,421
DUVAL,100088,Available,BAPTIST MEDICAL CENTER JACKSONVILLE,49
DUVAL,100088,Available Capacity,BAPTIST MEDICAL CENTER JACKSONVILLE,0.104255319
DUVAL,100088,Total Staffed Bed Capacity,BAPTIST MEDICAL CENTER JACKSONVILLE,470
DUVAL,100117,Bed Census,BAPTIST MEDICAL CENTER - BEACHES,101
DUVAL,100117,Available,BAPTIST MEDICAL CENTER - BEACHES,49
DUVAL,100117,Available Capacity,BAPTIST MEDICAL CENTER - BEACHES,0.326666667
DUVAL,100117,Total Staffed Bed Capacity,BAPTIST MEDICAL CENTER - BEACHES,150
DUVAL,100151,Bed Census,MAYO CLINIC,287
DUVAL,100151,Available,MAYO CLINIC,17
DUVAL,100151,Available Capacity,MAYO CLINIC,0.055921053
DUVAL,100151,Total Staffed Bed Capacity,MAYO CLINIC,304
DUVAL,100179,Bed Census,MEMORIAL HOSPITAL JACKSONVILLE,301
DUVAL,100179,Available,MEMORIAL HOSPITAL JACKSONVILLE,198
DUVAL,100179,Available Capacity,MEMORIAL HOSPITAL JACKSONVILLE,0.396793587
DUVAL,100179,Total Staffed Bed Capacity,MEMORIAL HOSPITAL JACKSONVILLE,499
DUVAL,100184,Bed Census,BROOKS REHABILITATION HOSPITAL,137
DUVAL,100184,Available,BROOKS REHABILITATION HOSPITAL,2
DUVAL,100184,Available Capacity,BROOKS REHABILITATION HOSPITAL,0.014388489
DUVAL,100184,Total Staffed Bed Capacity,BROOKS REHABILITATION HOSPITAL,139
DUVAL,100196,Bed Census,CURAHEALTH JACKSONVILLE LLC,19
DUVAL,100196,Available,CURAHEALTH JACKSONVILLE LLC,3
DUVAL,100196,Available Capacity,CURAHEALTH JACKSONVILLE LLC,0.136363636
DUVAL,100196,Total Staffed Bed Capacity,CURAHEALTH JACKSONVILLE LLC,22
DUVAL,104016,Bed Census,RIVER POINT BEHAVIORAL HEALTH,57
DUVAL,104016,Available,RIVER POINT BEHAVIORAL HEALTH,27
DUVAL,104016,Available Capacity,RIVER POINT BEHAVIORAL HEALTH,0.321428571
DUVAL,104016,Total Staffed Bed Capacity,RIVER POINT BEHAVIORAL HEALTH,84
DUVAL,23960052,Bed Census,BAPTIST MEDICAL CENTER SOUTH,214
DUVAL,23960052,Available,BAPTIST MEDICAL CENTER SOUTH,87
DUVAL,23960052,Available Capacity,BAPTIST MEDICAL CENTER SOUTH,0.289036545
DUVAL,23960052,Total Staffed Bed Capacity,BAPTIST MEDICAL CENTER SOUTH,301
DUVAL,23960061,Bed Census,WEKIVA SPRINGS,86
DUVAL,23960061,Available,WEKIVA SPRINGS,53
DUVAL,23960061,Available Capacity,WEKIVA SPRINGS,0.381294964
DUVAL,23960061,Total Staffed Bed Capacity,WEKIVA SPRINGS,139
DUVAL,23960088,Bed Census,ASCENSION ST VINCENT'S SOUTHSIDE,119
DUVAL,23960088,Available,ASCENSION ST VINCENT'S SOUTHSIDE,124
DUVAL,23960088,Available Capacity,ASCENSION ST VINCENT'S SOUTHSIDE,0.510288066
DUVAL,23960088,Total Staffed Bed Capacity,ASCENSION ST VINCENT'S SOUTHSIDE,243
DUVAL,23960123,Bed Census,UF HEALTH NORTH,92
DUVAL,23960123,Available,UF HEALTH NORTH,1
DUVAL,23960123,Available Capacity,UF HEALTH NORTH,0.010752688
DUVAL,23960123,Total Staffed Bed Capacity,UF HEALTH NORTH,93
DUVAL,23960157,Bed Census,WOLFSON CHILDREN'S HOSPITAL,144
DUVAL,23960157,Available,WOLFSON CHILDREN'S HOSPITAL,54
DUVAL,23960157,Available Capacity,WOLFSON CHILDREN'S HOSPITAL,0.272727273
DUVAL,23960157,Total Staffed Bed Capacity,WOLFSON CHILDREN'S HOSPITAL,198
ESCAMBIA,100025,Bed Census,ASCENSION SACRED HEART PENSACOLA,367
ESCAMBIA,100025,Available,ASCENSION SACRED HEART PENSACOLA,191
ESCAMBIA,100025,Available Capacity,ASCENSION SACRED HEART PENSACOLA,0.342293907
